City,Country,Continent,Population (2024),Population (2023),Growth Rate
Eskisehir,Turkey,Asia,848002,834065,0.0167
Jincheng,China,Asia,841928,818057,0.0292
Heze,China,Asia,838928,826777,0.0147
Saratov,Russia,Asia,837687,838377,-0.0008
Nellore,India,Asia,837660,816293,0.0262
Huludao,China,Asia,836344,821132,0.0185
Bikaner,India,Asia,835802,818566,0.0211
Haicheng,China,Asia,834639,821192,0.0164
Gebze,Turkey,Asia,831360,813394,0.0221
Taixing,China,Asia,830623,811451,0.0236
Liaocheng,China,Asia,830004,813369,0.0205
Zhumadian,China,Asia,829361,804537,0.0309
Langfang,China,Asia,827967,807833,0.0249
Bucheon,South Korea,Asia,826919,826981,-0.0001
Sulaimaniya,Iraq,Asia,823199,800793,0.028
Anqiu,China,Asia,821765,791931,0.0377
Gaomi,China,Asia,821154,797964,0.0291
Dasmarinas,Philippines,Asia,820886,802600,0.0228
Cagayan De Oro City,Philippines,Asia,820297,803194,0.0213
Hanchuan,China,Asia,818761,795835,0.0288
Meishan,China,Asia,818037,796756,0.0267
Ar Rayyan,Qatar,Asia,815869,798382,0.0219
Muzaffarnagar,India,Asia,814491,791214,0.0294
Kayamkulam,India,Asia,813379,786192,0.0346
Nakhon Ratchasima,Thailand,Asia,811446,801853,0.012
Danyang,China,Asia,810450,789755,0.0262
Ibb,Yemen,Asia,810149,771514,0.0501
Amravati,India,Asia,808263,792620,0.0197
Jiaozuo,China,Asia,808079,796509,0.0145
Gorakhpur,India,Asia,801634,788276,0.0169
Gaza,Palestine,Asia,800636,778187,0.0288
Anqing,China,Asia,795987,779535,0.0211
Niigata,Japan,Asia,795916,797865,-0.0024
Linhai,China,Asia,795777,776076,0.0254
Shaoguan,China,Asia,794279,784230,0.0128
Erduosi Ordoss,China,Asia,794143,774321,0.0256
Yan'an,China,Asia,791839,767188,0.0321
Cuttack,India,Asia,789558,775559,0.0181
Banjarmasin,Indonesia,Asia,785125,770959,0.0184
Dengzhou,China,Asia,783041,759150,0.0315
Belgaum,India,Asia,783020,767161,0.0207
Malegaon,India,Asia,781925,764628,0.0226
Zigong,China,Asia,779684,768075,0.0151
Qingyuan,China,Asia,778628,766782,0.0154
Yuncheng,China,Asia,777193,754711,0.0298
